Wave,HbO,HbR
250,106112.0,112736.0
252,105552.0,112736.0
254,107660.0,112736.0
256,109788.0,113824.0
258,112944.0,115040.0
260,116376.0,116296.0
262,120188.0,117564.0
264,124412.0,118876.0
266,128696.0,120208.0
268,133064.0,121544.0
270,136068.0,122880.0
272,137232.0,123096.0
274,138408.0,121952.0
276,137424.0,120808.0
278,135820.0,119840.0
280,131936.0,118872.0
282,127720.0,117628.0
284,122280.0,114820.0
286,116508.0,112008.0
288,108484.0,107140.0
290,104752.0,98364.0
292,98936.0,91636.0
294,88136.0,85820.0
296,79316.0,77100.0
298,70884.0,69444.0
300,65972.0,64440.0
302,63208.0,61300.0
304,61952.0,58828.0
306,62352.0,56908.0
308,62856.0,57620.0
310,63352.0,59156.0
312,65972.0,62248.0
314,69016.0,65344.0
316,72404.0,68312.0
318,75536.0,71208.0
320,78752.0,74508.0
322,82256.0,78284.0
324,85972.0,82060.0
326,89796.0,85592.0
328,93768.0,88516.0
330,97512.0,90856.0
332,100964.0,93192.0
334,103504.0,95532.0
336,104968.0,99792.0
338,106452.0,104476.0
340,107884.0,108472.0
342,109060.0,110996.0
344,110092.0,113524.0
346,109032.0,116052.0
348,107984.0,118752.0
350,106576.0,122092.0
352,105040.0,125436.0
354,103696.0,128776.0
356,101568.0,132120.0
358,97828.0,133632.0
360,94744.0,134940.0
362,92248.0,136044.0
364,89836.0,136972.0
366,88484.0,137900.0
368,87512.0,138856.0
370,88176.0,139968.0
372,91592.0,141084.0
374,95140.0,142196.0
376,98936.0,143312.0
378,103432.0,144424.0
380,109564.0,145232.0
382,116968.0,145232.0
384,125420.0,148668.0
386,135132.0,153908.0
388,148100.0,159544.0
390,167748.0,167780.0
392,189740.0,180004.0
394,212060.0,191540.0
396,231612.0,202124.0
398,248404.0,212712.0
400,266232.0,223296.0
402,284224.0,236188.0
404,308716.0,253368.0
406,354208.0,270548.0
408,422320.0,287356.0
410,466840.0,303956.0
412,500200.0,321344.0
414,524280.0,342596.0
416,521880.0,363848.0
418,515520.0,385680.0
420,480360.0,407560.0
422,431880.0,429880.0
424,376236.0,461200.0
426,326032.0,481840.0
428,283112.0,500840.0
430,246072.0,528600.0
432,214120.0,552160.0
434,165332.0,552160.0
436,132820.0,547040.0
438,119140.0,501560.0
440,102580.0,413280.0
442,92780.0,363240.0
444,81444.0,282724.0
446,76324.0,237224.0
448,67044.0,173320.0
450,62816.0,103292.0
452,58864.0,62640.0
454,53552.0,36170.0
456,49496.0,30698.8
458,47496.0,25886.4
460,44480.0,23388.8
462,41320.0,20891.2
464,39807.2,19260.8
466,37073.2,18142.4
468,34870.8,17025.6
470,33209.2,16156.4
472,31620.0,15310.0
474,30113.6,15048.4
476,28850.8,14792.8
478,27718.0,14657.2
480,26629.2,14550.0
482,25701.6,14881.2
484,25180.4,15212.4
486,24669.6,15543.6
488,24174.8,15898.0
490,23684.4,16684.0
492,23086.8,17469.6
494,22457.6,18255.6
496,21850.4,19041.2
498,21260.0,19891.2
500,20932.8,20862.0
502,20596.4,21832.8
504,20418.0,22803.6
505,30416.0,23289.0
506,19946.0,23774.4
508,19996.0,24745.2
510,20035.2,25773.6
512,20150.4,26936.8
514,20429.2,28100.0
516,21001.6,29263.2
518,22509.6,30426.4
520,24202.4,31589.6
522,26450.4,32851.2
524,29269.2,34397.6
526,32496.4,35944.0
528,35990.0,37490.0
530,39956.8,39036.4
532,43876.0,40584.0
534,46924.0,42088.0
536,49752.0,43592.0
538,51712.0,45092.0
540,53236.0,46592.0
542,53292.0,48148.0
544,52096.0,49708.0
546,49868.0,51268.0
548,46660.0,52496.0
550,43016.0,53412.0
552,39675.2,54080.0
554,36815.2,54520.0
556,34476.8,54540.0
558,33456.0,54164.0
560,32613.2,53788.0
562,32620.0,52276.0
564,33915.6,50572.0
566,36495.2,48828.0
568,40172.0,46948.0
570,44496.0,45072.0
572,49172.0,43340.0
574,53308.0,41716.0
576,55540.0,40092.0
578,54728.0,38467.6
580,50104.0,37020.0
582,43304.0,35676.4
584,34639.6,34332.8
586,26600.4,32851.6
588,19763.2,31075.2
590,14400.8,28324.4
592,10468.4,25470.0
594,7678.8,22574.8
596,5683.6,19800.0
598,4504.4,17058.4
600,3200.0,14677.2
602,2664.0,13622.4
604,2128.0,12567.6
606,1789.2,11513.2
608,1647.6,10477.6
610,1506.0,9443.6
612,1364.4,8591.2
614,1222.8,7762.0
616,1110.0,7344.8
618,1026.0,6927.2
620,942.0,6509.6
622,858.0,6193.2
624,774.0,5906.8
626,707.6,5620.0
628,658.8,5366.8
630,610.0,5148.8
632,561.2,4930.8
634,512.4,4730.8
636,478.8,4602.4
638,460.4,4473.6
640,442.0,4345.2
642,423.6,4216.8
644,405.2,4088.4
646,390.4,3965.08
648,379.2,3857.6
650,368.0,3750.12
652,356.8,3642.64
654,345.6,3535.16
656,335.2,3427.68
658,325.6,3320.2
660,319.6,3226.56
662,314.0,3140.28
664,308.4,3053.96
666,302.8,2967.68
668,298.0,2881.4
670,294.0,2795.12
672,290.0,2708.84
674,285.6,2627.64
676,282.0,2554.4
678,279.2,2481.16
680,277.6,2407.92
682,276.0,2334.68
684,274.4,2261.48
686,272.8,2188.24
688,274.4,2115.0
690,276.0,2051.96
692,277.6,2000.48
694,279.2,1949.04
696,282.0,1897.56
698,286.0,1846.08
700,290.0,1794.28
702,294.0,1741.0
704,298.0,1687.76
706,302.8,1634.48
708,308.4,1583.52
710,314.0,1540.48
712,319.6,1497.4
714,325.2,1454.36
716,332.0,1411.32
718,340.0,1368.28
720,348.0,1325.88
722,356.0,1285.16
724,364.0,1244.44
726,372.4,1203.68
728,381.2,1152.8
730,390.0,1102.2
732,398.8,1102.2
734,407.6,1102.2
736,418.8,1101.76
738,432.4,1100.48
740,446.0,1115.88
742,459.6,1161.64
744,473.2,1207.4
746,487.6,1266.04
748,502.8,1333.24
750,518.0,1405.24
752,533.2,1515.32
754,548.4,1541.76
756,562.0,1560.48
758,574.0,1560.48
760,586.0,1548.52
762,598.0,1508.44
764,610.0,1459.56
766,622.8,1410.52
768,636.4,1361.32
770,650.0,1311.88
772,663.6,1262.44
774,677.2,1213.0
776,689.2,1163.56
778,699.6,1114.8
780,710.0,1075.44
782,720.4,1036.08
784,730.8,996.72
786,740.0,957.36
788,748.0,921.8
790,756.0,890.8
792,764.0,859.8
794,772.0,828.8
796,786.4,802.96
798,807.2,782.36
800,816.0,761.72
802,828.0,743.84
804,836.0,737.08
806,844.0,730.28
808,856.0,723.52
810,864.0,717.08
812,872.0,711.84
814,880.0,706.6
816,887.2,701.32
818,901.6,696.08
820,916.0,693.76
822,930.4,693.6
824,944.8,693.48
